prestador,factura,forest pos,iforest prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
E0B158A4D09C4884A37BAA919DC7EB47,8D7CB4B223448616C4ED359AC9A6DEF7,3,"97,86 %",2,0,1,1,4794584.94,33,9,490700,12,453300,1,1,0,15,399917,0
3F89EB097CB8FB95E71536FCE8F04D40,4850F00421D8530E32B2236AFBDBDFE4,4,"99,64 %",2,0,1,1,302872875,4885,1950,61317889,9204,232927281,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,BE33D33F4E78498E9BFA85D3B5C9035F,4,"96,12 %",2,0,1,1,148463094,22552,0,0,25000,148463094,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,448FAE70A89822A7A9EE46B71DF65286,4,"98,71 %",2,0,1,1,157044232,1793,482,26627000,1752,128689130,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,34298EC549BA382F78F8DB9E939E20C9,4,"93,25 %",3,1,1,1,141679666,17,98,8476500,626,47901100,1,1,0,104,29580024,1054672
B725F4EAFE01B71BF7125AB91BC8356B,9293F422FE547E79D6BFB99CD9DFFED0,4,"92,37 %",3,1,1,1,4357818,4,0,0,0,0,0,0,0,13,4357818,0
BDC9655DB70D0AD154FA9811931FC6C8,6BD45B7EB3B18A46757443F4D8E7D8B4,4,"98,35 %",2,0,1,1,1343564432,19102,23321,0,36398,0,532,74,0,6169,0,0
E0B158A4D09C4884A37BAA919DC7EB47,DACAC1F45C74863ACCDEFE4D14244852,4,"97,31 %",2,0,1,1,3728907,47,8,434400,8,204800,1,1,0,13,426736,0
3F89EB097CB8FB95E71536FCE8F04D40,1B70864380F81612C852E70D58033B12,5,"99,64 %",2,0,1,1,302872875,4925,2336,73431992,8891,218400154,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,A9202815587B6380ED0C52991D89D153,5,"95,83 %",2,0,1,1,162817465,19265,0,0,21911,162817465,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,59E6EE8E2FA789C6BDA69AB890E5EBA8,5,"97,96 %",2,0,1,1,206612655,2350,692,41462990,2846,164531316,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,13076C63A2EFBDA579B22AA8C7AD91D8,5,"89,20 %",1,0,1,0,173425897,2,71,4129400,518,36959500,0,1,0,59,29077312,1181936
